,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33
pmc001,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc006,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc007,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc012,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc013,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc014,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc015,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc019,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc020,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc021,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
