station,site,LCP_mean,elevation,village_heatmap20
pmc001,PMNP,1.84422336,1085,8.246739388
pmc006,PMNP,5.89989392,1769,3.550212622
pmc007,PMNP,2.161935886,766,10.43091965
pmc012,PMNP,5.194418907,1056,3.764058828
pmc013,PMNP,5.712539196,878,3.129296064
pmc014,PMNP,5.846287886,538,2.323226213
pmc015,PMNP,3.190040112,804,13.77879715
pmc019,PMNP,2.348659754,465,6.563764572
pmc020,PMNP,4.088916302,732,4.748755455
pmc021,PMNP,3.82305932,327,3.453774214
pmc022,PMNP,5.857596874,951,2.140339136
pmc023,PMNP,7.097508907,681,1.205572367
pmc024,PMNP,2.819496155,610,17.45829773
pmc025,PMNP,3.289800644,889,16.79499054
pmc026,PMNP,3.013448477,791,15.7807951
pmc027,PMNP,1.799191952,297,13.6653204
pmc028,PMNP,1.093039393,417,10.77917194
pmc029,PMNP,1.350524426,293,7.752048016
pmc030,PMNP,2.15757966,224,6.093521118
pmc031,PMNP,4.054648876,563,4.137749195
pmc032,PMNP,5.692586899,678,2.325638533
pmc033,PMNP,7.130147934,1052,1.271059513
pmc037,PMNP,1.980252981,482,20.1116848
pmc038,PMNP,1.391491175,333,19.16506958
pmc039,PMNP,0.872789264,285,17.97847366
pmc041,PMNP,0.894838572,325,12.63082886
pmc042,PMNP,0.806496382,251,9.873475075
pmc043,PMNP,2.440871716,523,7.105905056
pmc044,PMNP,3.913913488,424,5.118730068
pmc045,PMNP,5.00222826,555,3.409682751
pmc046,PMNP,7.411455631,776,1.88852036
pmc047,PMNP,7.30082194,1283,0.841280401
pmc048,PMNP,7.036415736,579,0.348098248
pmc049,PMNP,8.181603432,999,0.119612321
pmc054,PMNP,1.232057095,274,16.91832733
pmc055,PMNP,1.329905272,285,13.76818275
pmc056,PMNP,2.33154726,367,11.56851673
pmc057,PMNP,3.043155193,698,9.093618393
pmc058,PMNP,4.119963169,645,6.249314785
pmc059,PMNP,5.639766534,743,4.521943569
pmc060,PMNP,6.609067599,875,2.563276768
pmc061,PMNP,6.269265652,1072,1.437331796
pmc062,PMNP,5.800401847,527,0.656525731
pmc063,PMNP,6.498666604,1037,0.354159415
pmc064,PMNP,6.601066669,1239,0.165974334
pmc065,PMNP,7.258891424,1383,0.016903272
pmc068,PMNP,2.903805494,855,12.89957428
pmc069,PMNP,2.422348976,631,10.23935413
pmc070,PMNP,3.632525444,839,8.195321083
pmc071,PMNP,4.980233351,519,5.57794714
pmc072,PMNP,4.262143771,574,3.721885204
pmc073,PMNP,4.33738327,868,2.095983267
pmc074,PMNP,4.138586283,388,1.401037335
pmc075,PMNP,5.057743788,805,0.877839684
pmc076,PMNP,5.578087727,1189,0.588044047
pmc077,PMNP,4.93270119,652,0.189193666
pmc080,PMNP,1.883231044,723,11.3686161
pmc081,PMNP,3.712509632,1189,8.970330238
pmc082,PMNP,3.627946138,757,6.596822739
pmc083,PMNP,2.746505578,707,5.017472744
pmc084,PMNP,2.14468954,218,3.343318462
pmc085,PMNP,3.217882752,722,2.386887074
pmc086,PMNP,3.509864688,673,1.994043708
pmc087,PMNP,3.535032121,448,1.217567682
pmc088,PMNP,4.816052,472,0.66482687
pmc089,PMNP,6.691439788,1223,0.258705258
pmc093,PMNP,1.734183053,287,4.045938969
pmc094,PMNP,3.19908456,502,3.261816263
pmc095,PMNP,4.34515504,704,2.390286922
pmc096,PMNP,6.265639544,1326,1.220843911
pmc097,PMNP,7.31846269,985,0.835864723
pmc098,PMNP,9.565978209,1025,0.427165747
pmc101,PMNP,4.352713585,708,4.783053875
pmc102,PMNP,5.288621187,822,3.095980167
pmc103,PMNP,7.008471171,600,2.595081568
pmc104,PMNP,8.013260365,664,1.684863329
pmc105,PMNP,9.488107045,969,0.757628858
pmc106,PMNP,9.658434709,1281,0.520794213
pmc107,PMNP,10.17193699,1446,0.520486414
pmc108,PMNP,2.931101084,608,6.665870667
pmc109,PMNP,3.739675999,320,5.819376469
pmc110,PMNP,5.636390209,627,4.780992508
pmc111,PMNP,6.885183175,913,3.256216526
pmc112,PMNP,8.410203616,934,2.06660533
pmc113,PMNP,9.576762517,1225,1.261447906
pmc114,PMNP,9.313568433,841,0.866763353
pmc115,PMNP,9.494439125,1050,0.791492105
pmc119,PMNP,4.257399082,1016,6.72990036
pmc120,PMNP,4.939888,1104,5.573656559
pmc121,PMNP,5.44919157,657,3.865880966
pmc122,PMNP,6.166990598,713,2.71925807
pmc123,PMNP,7.945069313,1038,1.930996299
pmc124,PMNP,9.009674867,878,1.255594373
pmc125,PMNP,9.185986678,750,1.099242687
pmc130,PMNP,3.656821728,434,6.066828251
pmc131,PMNP,5.126356761,602,4.288087845
pmc132,PMNP,6.108274778,438,3.168941498
pmc133,PMNP,7.05755806,534,2.145634413
pmc134,PMNP,7.625946681,339,1.64157021
pmc135,PMNP,7.940852801,427,1.402824759
pmc140,PMNP,3.287081401,395,5.852043152
pmc141,PMNP,3.795800209,259,4.543876171
pmc142,PMNP,5.169786612,332,3.32876873
pmc143,PMNP,5.827953974,876,2.333573818
pmc144,PMNP,6.491641363,802,1.931342721
